Accession,Protein Name,Coverage [%],# Peptides,# PSMs,# Unique Peptides,Gene Symbol,RV Fold-change,RV Adj. P-Value,LV Fold-change,LV Adj. P-Value,Tissue,Ome,Species
A0A0G2KB63,Prohibitin ,63,17,119,17,Phb2,0.82,<0.01,0.97,0.62,HEART,PROT,RAT
Q9EQP5,Prolargin ,38,13,42,13,Prelp,0.92,0.18,0.95,1.00,HEART,PROT,RAT
Q6AYD3,Proliferation-associated protein 2G4 ,12,4,15,4,Pa2g4,1.10,0.59,1.18,0.66,HEART,PROT,RAT
Q68FZ8,"Propionyl coenzyme A carboxylase, beta polypeptide ",50,20,126,3,Pccb,0.66,<0.01,0.80,0.01,HEART,PROT,RAT
A0A0G2K401,"Propionyl-CoA carboxylase alpha chain, mitochondrial ",47,29,203,29,Pcca,0.74,<0.01,0.80,<0.01,HEART,PROT,RAT
F7EPE0,Prosaposin ,10,6,37,6,Psap,1.09,0.88,1.21,0.35,HEART,PROT,RAT
D4AE56,Prostaglandin E synthase 2 ,46,14,45,14,Ptges2,0.74,0.03,0.86,0.49,HEART,PROT,RAT
P97584,Prostaglandin reductase 1 ,39,9,47,9,Ptgr1,1.65,<0.01,1.38,<0.01,HEART,PROT,RAT
Q5BK81,Prostaglandin reductase 2 ,34,9,64,9,Ptgr2,0.83,0.09,0.88,0.35,HEART,PROT,RAT
Q5XIC6,"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12 ",10,5,15,5,Psmd12,1.40,0.82,1.06,1.00,HEART,PROT,RAT
Q4V8E2,"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 14 ",27,5,11,5,Psmd14,1.23,0.23,1.14,0.34,HEART,PROT,RAT
Q5U2S7,"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 3 ",20,7,12,7,Psmd3,1.14,0.40,1.03,0.91,HEART,PROT,RAT
Q6PCT9,"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 6 ",19,7,15,7,Psmd6,1.20,0.12,1.18,0.17,HEART,PROT,RAT
D4AEH3,"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 7 (Predicted) ",44,8,28,8,Psmd7,1.25,0.01,1.22,0.01,HEART,PROT,RAT
Q6P9V7,"Proteasome (Prosome, macropain) activator subunit 1 ",59,13,80,13,Psme1,0.83,0.01,1.02,1.00,HEART,PROT,RAT
G3V6W6,"Proteasome 26S subunit, ATPase 6 ",31,8,24,8,Psmc6,1.17,0.01,1.14,0.05,HEART,PROT,RAT
F1LMQ3,"Proteasome 26S subunit, non-ATPase 8 ",8,3,8,3,Psmd8,1.13,0.55,1.31,0.15,HEART,PROT,RAT
Q63798,Proteasome activator complex subunit 2 ,34,6,28,6,Psme2; LOC100362709,1.00,1.00,1.19,0.17,HEART,PROT,RAT
Q6P505,Proteasome subunit alpha type ,16,5,16,5,Psma4,1.17,0.18,1.09,1.00,HEART,PROT,RAT
Q6IE67,Proteasome subunit alpha type ,25,6,22,6,LOC100361067; Psma3l,1.10,1.00,1.08,0.85,HEART,PROT,RAT
A0A0G2K0W9,Proteasome subunit alpha type ,54,11,41,11,Psma7,1.03,1.00,1.02,0.79,HEART,PROT,RAT
Q6P9V6,Proteasome subunit alpha type ,36,7,25,7,Psma5,1.02,1.00,1.19,0.37,HEART,PROT,RAT
P18420,Proteasome subunit alpha type-1 ,57,12,32,12,Psma1,1.08,1.00,1.02,1.00,HEART,PROT,RAT
P17220,Proteasome subunit alpha type-2 ,41,6,36,6,Psma2,1.09,0.78,1.08,0.34,HEART,PROT,RAT
P60901,Proteasome subunit alpha type-6 ,32,7,28,7,Psma6,0.96,1.00,1.23,0.25,HEART,PROT,RAT
G3V8U9,Proteasome subunit beta ,30,5,18,5,Psmb4,1.02,1.00,1.18,0.84,HEART,PROT,RAT
Q6PDW4,Proteasome subunit beta ,42,7,34,7,Psmb1,0.98,1.00,1.01,1.00,HEART,PROT,RAT
G3V7Q6,Proteasome subunit beta ,34,8,19,8,Psmb5,0.88,1.00,1.29,0.44,HEART,PROT,RAT
P40307,Proteasome subunit beta type-2 ,36,6,24,6,Psmb2,1.02,1.00,1.08,0.59,HEART,PROT,RAT
P40112,Proteasome subunit beta type-3 ,43,6,27,6,Psmb3,1.04,1.00,1.12,0.62,HEART,PROT,RAT
P28073,Proteasome subunit beta type-6 ,25,3,9,3,Psmb6; LOC100360846,1.06,1.00,1.13,1.00,HEART,PROT,RAT
Q9JHW0,Proteasome subunit beta type-7 ,14,4,13,4,Psmb7,0.92,1.00,1.12,1.00,HEART,PROT,RAT
F1M5R3,Protein ABHD14B ,26,3,8,3,Abhd14b,0.54,<0.01,0.76,0.03,HEART,PROT,RAT
Q5XIM5,Protein CDV3 homolog ,30,4,7,4,Cdv3,1.16,1.00,1.17,1.00,HEART,PROT,RAT
P04785,Protein disulfide-isomerase ,53,23,113,23,P4hb,1.79,<0.01,1.48,<0.01,HEART,PROT,RAT
A0A0H2UHM5,Protein disulfide-isomerase ,51,22,115,22,Pdia3,1.34,<0.01,1.31,<0.01,HEART,PROT,RAT
A0A0G2JSZ5,Protein disulfide-isomerase A6 ,37,12,47,12,Pdia6,1.29,0.06,1.17,0.59,HEART,PROT,RAT
A0A0G2JXC1,Protein ERGIC-53 ,29,10,24,10,Lman1,1.32,0.67,1.24,0.43,HEART,PROT,RAT
Q4QQV3,Protein FAM162A ,36,7,48,7,Fam162a,1.27,0.81,1.36,0.14,HEART,PROT,RAT
R9PXU3,Protein kinase C and casein kinase substrate in neurons 2 protein ,28,12,32,12,Pacsin2,0.83,0.28,0.85,0.68,HEART,PROT,RAT
Q5I2Z0,Protein kinase C and casein kinase substrate in neurons 3 ,23,8,20,8,Pacsin3,1.06,1.00,1.46,0.92,HEART,PROT,RAT
B1WC34,Protein kinase C substrate 80K-H ,16,6,10,6,Prkcsh,1.02,1.00,1.25,0.61,HEART,PROT,RAT
A1L1M0,"Protein kinase, cAMP-dependent, catalytic, alpha ",29,9,38,4,Prkaca,0.94,0.64,1.06,1.00,HEART,PROT,RAT
Q4QQR9,Protein MEMO1 ,30,6,11,6,Memo1,1.35,0.54,1.09,0.84,HEART,PROT,RAT
D3ZIC4,Protein phosphatase 1 regulatory subunit ,26,22,48,20,Ppp1r12b,1.17,0.03,1.11,0.24,HEART,PROT,RAT
Q10728,Protein phosphatase 1 regulatory subunit 12A ,14,11,25,9,Ppp1r12a,1.11,1.00,0.95,1.00,HEART,PROT,RAT
A0A0H2UHE5,Protein phosphatase 1A ,25,9,17,7,Ppm1a,1.12,1.00,1.17,0.36,HEART,PROT,RAT
Q9WVR7,Protein phosphatase 1F ,20,5,9,5,Ppm1f,0.89,1.00,1.16,1.00,HEART,PROT,RAT
Q5XI34,"Protein phosphatase 2 (Formerly 2A), regulatory subunit A (PR 65), alpha isoform, isoform CRA_a ",41,19,103,15,Ppp2r1a,0.96,0.29,1.14,0.01,HEART,PROT,RAT
A1L1J4,"Protein phosphatase 2C, magnesium dependent, catalytic subunit ",40,14,47,14,Pdp1,1.19,0.26,1.32,0.13,HEART,PROT,RAT
D3ZBT9,"Protein phosphatase 6, regulatory subunit 3 ",5,4,10,4,Ppp6r3; Ppp6r3-ps1,0.97,1.00,1.08,1.00,HEART,PROT,RAT
P05943,Protein S100-A10 ,18,2,7,2,S100a10,1.91,0.01,1.73,0.02,HEART,PROT,RAT
P05964,Protein S100-A6 ,53,4,8,4,S100a6,1.28,0.25,1.70,0.04,HEART,PROT,RAT
A0A0G2JSU3,Protein SET ,26,4,9,4,Set,1.14,1.00,1.44,0.52,HEART,PROT,RAT
A0A0G2JZM2,Protein transport protein SEC23 ,9,4,7,4,Sec23a,1.17,0.30,1.18,0.27,HEART,PROT,RAT
Q9Z2Q1,Protein transport protein Sec31A ,12,10,24,10,Sec31a,0.93,1.00,1.49,0.06,HEART,PROT,RAT
B0BMY7,"Protein tyrosine kinase 9-like (A6-related protein) (Predicted), isoform CRA_b ",38,11,19,11,LOC684352; Twf2,0.97,1.00,0.99,1.00,HEART,PROT,RAT
P22062,Protein-L-isoaspartate(D-aspartate) O-methyltransferase ,61,11,57,11,Pcmt1,1.13,0.49,1.15,0.14,HEART,PROT,RAT
G3V778,Protein-serine/threonine kinase ,15,5,12,4,Pdk4,0.42,0.27,0.69,0.90,HEART,PROT,RAT
G3V843,Prothrombin ,12,7,12,7,F2,1.09,0.40,1.26,0.04,HEART,PROT,RAT
P06302,Prothymosin alpha ,21,3,7,3,Ptma; LOC100359583,1.45,0.97,1.42,0.58,HEART,PROT,RAT
P61459,Pterin-4-alpha-carbinolamine dehydratase ,22,2,3,2,Pcbd1,1.00,1.00,1.12,1.00,HEART,PROT,RAT
P85973,Purine nucleoside phosphorylase ,39,8,54,8,Pnp,1.51,0.02,1.61,0.01,HEART,PROT,RAT
Q68FT3,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2 ,25,11,31,11,Pyroxd2,0.66,<0.01,0.81,0.03,HEART,PROT,RAT
D3ZCA0,Pyridoxal phosphate homeostasis protein ,37,8,25,8,Prosc; Plpbp,1.08,0.54,0.96,1.00,HEART,PROT,RAT
O88794,Pyridoxine-5'-phosphate oxidase ,40,6,30,6,Pnpo,0.94,0.82,1.06,0.90,HEART,PROT,RAT
A0A0G2JTL5,"Pyruvate carboxylase, mitochondrial ",29,24,87,24,Pc,1.01,1.00,1.20,0.50,HEART,PROT,RAT
A0A0G2JW90,Pyruvate dehydrogenase E1 component subunit alpha ,46,18,228,18,Pdha1 Pdha1l1,1.08,0.32,0.96,1.00,HEART,PROT,RAT
P49432,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial ",48,14,376,14,Pdhb,1.09,0.06,0.98,0.45,HEART,PROT,RAT
D3ZXA6,Pyruvate dehydrogenase phosphatase regulatory subunit ,22,15,51,15,Pdpr,1.26,0.01,1.29,0.01,HEART,PROT,RAT
A0A0G2JVG3,Pyruvate kinase ,53,21,209,2,Pkm,2.11,<0.01,1.67,0.02,HEART,PROT,RAT
P11980,Pyruvate kinase PKM ,55,26,260,6,Pkm,0.92,1.00,0.91,0.77,HEART,PROT,RAT
Q6AYT0,Quinone oxidoreductase ,37,9,20,9,Cryz,0.81,0.07,1.02,0.88,HEART,PROT,RAT
P50398,Rab GDP dissociation inhibitor alpha ,39,14,45,10,Gdi1,1.31,0.39,1.45,0.21,HEART,PROT,RAT
P50399,Rab GDP dissociation inhibitor beta ,47,16,80,12,Gdi2,1.06,0.57,1.19,0.06,HEART,PROT,RAT
Q5RKJ9,"RAB10, member RAS oncogene family ",39,7,36,5,Rab10,1.19,0.36,1.02,1.00,HEART,PROT,RAT
A0A0G2K4A0,RAB11 family-interacting protein 5 ,7,3,4,3,Rab11fip5,0.89,1.00,1.39,0.80,HEART,PROT,RAT
A1L1J8,"RAB5B, member RAS oncogene family ",42,7,27,4,Rab5b,1.09,0.26,1.19,0.63,HEART,PROT,RAT
Q5PQK5,Radixin ,21,15,59,5,Rdx,1.01,1.00,1.19,0.94,HEART,PROT,RAT
Q5U204,Ragulator complex protein LAMTOR3 ,22,2,13,2,Lamtor3,1.10,1.00,1.08,1.00,HEART,PROT,RAT
D4A2G9,RAN-binding protein 1 ,19,4,8,4,Ranbp1,1.26,0.20,1.27,0.20,HEART,PROT,RAT
D4A8F2,Ras suppressor protein 1 ,46,9,32,9,Rsu1,1.41,0.12,1.07,1.00,HEART,PROT,RAT
Q5BJU0,RAS-related 2 ,32,6,22,5,Rras2,1.04,1.00,1.05,0.96,HEART,PROT,RAT
O35509,Ras-related protein Rab-11B ,52,10,38,10,Rab11b,1.06,0.50,1.09,0.57,HEART,PROT,RAT
P61107,Ras-related protein Rab-14 ,45,7,26,6,Rab14,1.23,0.63,1.11,1.00,HEART,PROT,RAT
Q5EB77,Ras-related protein Rab-18 ,35,6,17,6,Rab18,1.13,0.84,1.07,1.00,HEART,PROT,RAT
Q6NYB7,Ras-related protein Rab-1A ,71,12,48,5,Rab1; Rab1a,1.13,0.59,1.04,1.00,HEART,PROT,RAT
Q6AXT5,Ras-related protein Rab-21 ,17,3,10,3,Rab21,1.18,1.00,1.11,1.00,HEART,PROT,RAT
F1LP82,Ras-related protein Rab-2A ,57,9,26,9,Rab2a,1.04,1.00,1.01,1.00,HEART,PROT,RAT
P09527,Ras-related protein Rab-7a ,50,9,29,9,Rab7a,1.19,0.15,1.11,0.34,HEART,PROT,RAT
Q31274,"Rat MHC class I RT1 (RT16) mRNA (u haplotype), 3' end (Fragment) ",16,4,15,4,RT1-EC2,1.29,0.04,1.27,0.08,HEART,PROT,RAT
O55147,Rattus norvegicus utrophin ,3,10,21,6,Utrn,1.10,1.00,1.38,0.27,HEART,PROT,RAT
D4A4W6,"RCG20695, isoform CRA_b ",66,5,17,5,Slirp,0.88,0.57,0.98,1.00,HEART,PROT,RAT
D3ZTR5,RCG21454 ,3,2,10,2,Zbed5,1.06,1.00,1.12,0.87,HEART,PROT,RAT
M0RAK2,RCG22622 ,48,5,37,4,LOC684270,0.70,0.01,0.90,0.81,HEART,PROT,RAT
I6L9G6,"RCG31562, isoform CRA_c ",20,4,19,4,Tardbp,0.95,1.00,1.15,0.41,HEART,PROT,RAT
A6HIS0,RCG32667 ,25,5,18,5,Tcap,1.22,0.34,1.15,0.37,HEART,PROT,RAT
Q68FT8,"RCG33981, isoform CRA_a ",8,3,5,3,Serpinf2,0.93,1.00,1.36,0.42,HEART,PROT,RAT
Q32Q54,"RCG37273, isoform CRA_a ",15,4,8,4,Uqcc; Uqcc1,0.53,<0.01,0.78,0.18,HEART,PROT,RAT
A0A0H2UHP9,"RCG39700, isoform CRA_d ",17,3,8,3,Rab6a,1.34,0.33,1.38,0.29,HEART,PROT,RAT
D3ZZC1,RCG43947 ,22,8,25,8,Txndc5,1.21,0.03,1.30,0.01,HEART,PROT,RAT
G3V6H0,"RCG48149, isoform CRA_b ",74,12,43,5,Rab1b-ps1; Rab1b; LOC100363782; LOC102555167,0.83,0.10,0.76,0.02,HEART,PROT,RAT
G3V852,"RCG55135, isoform CRA_b ",36,62,224,54,Tln1,1.20,<0.01,1.16,<0.01,HEART,PROT,RAT
D4A3D2,"RCG56113, isoform CRA_a ",25,10,58,10,Smyd1,0.81,0.21,1.11,0.98,HEART,PROT,RAT
A0A0G2K1V7,RCG57156 ,34,7,21,7,Sgcb,0.99,1.00,1.20,0.33,HEART,PROT,RAT
F1LQS6,RCG61833 ,20,18,46,18,Xdh rCG_61833,1.29,0.01,1.37,<0.01,HEART,PROT,RAT
M0RB63,RCG63041 ,42,2,25,2,LOC684509,0.89,1.00,1.22,1.00,HEART,PROT,RAT
B2RZ37,Receptor expression-enhancing protein 5 ,19,4,12,4,Reep5,1.39,0.41,1.26,0.29,HEART,PROT,RAT
P63245,Receptor of activated protein C kinase 1 ,22,6,15,6,Gnb2l1; Rack1; LOC100911540,0.94,1.00,1.02,1.00,HEART,PROT,RAT
Q4G069,Regulator of microtubule dynamics protein 1 ,33,9,47,9,Rmdn1,0.47,<0.01,0.67,<0.01,HEART,PROT,RAT
D3ZUB0,Reticulocalbin 1 ,23,4,9,4,Rcn1,1.74,<0.01,1.71,<0.01,HEART,PROT,RAT
A0A0H2UHX1,Reticulon ,7,2,12,2,Rtn3,1.08,0.51,1.25,0.14,HEART,PROT,RAT
Q6WN19,Reticulon ,12,3,16,3,Rtn2,0.75,0.26,1.07,1.00,HEART,PROT,RAT
B2GUZ6,Reticulon 4-interacting protein 1 ,32,9,41,9,Rtn4ip1,0.78,0.07,0.84,0.24,HEART,PROT,RAT
Q9JK11,Reticulon-4 ,30,20,58,20,Rtn4,1.37,0.08,1.46,0.12,HEART,PROT,RAT
P51647,Retinal dehydrogenase 1 ,41,16,54,15,Aldh1a1,1.72,<0.01,2.08,<0.01,HEART,PROT,RAT
Q920A6,Retinoid-inducible serine carboxypeptidase ,19,7,14,7,Scpep1,1.44,0.21,1.63,0.11,HEART,PROT,RAT
D3ZFR9,Retinol dehydrogenase 13 ,28,7,15,7,Rdh13,0.85,0.19,1.04,1.00,HEART,PROT,RAT
P02696,Retinol-binding protein 1 ,37,4,5,4,Rbp1,1.01,1.00,1.13,1.00,HEART,PROT,RAT
B5DEF6,RGD1310159 protein ,29,23,54,23,Acad10,0.63,<0.01,0.78,0.02,HEART,PROT,RAT
Q5M860,Rho GDP dissociation inhibitor beta ,24,3,8,3,Arhgdib,1.37,0.05,1.29,0.11,HEART,PROT,RAT
Q5XI73,Rho GDP-dissociation inhibitor 1 ,41,7,37,7,Arhgdia,1.22,0.01,1.12,0.34,HEART,PROT,RAT
D4A6C5,Rho GTPase-activating protein 1 ,15,4,19,4,Arhgap1,1.77,<0.01,1.78,<0.01,HEART,PROT,RAT
Q62868,Rho-associated protein kinase 2 ,8,9,14,8,Rock2,0.99,1.00,1.07,0.87,HEART,PROT,RAT
P29315,Ribonuclease inhibitor ,17,6,22,6,LOC100360501; Rnh1,1.20,0.29,1.21,0.32,HEART,PROT,RAT
A0A0G2JSV3,Ribose-phosphate pyrophosphokinase I -like ,20,6,32,6,LOC314140,1.06,0.50,1.01,1.00,HEART,PROT,RAT
D4A1P2,Ribosomal protein L10-like ,9,2,7,2,Rpl10l,1.02,1.00,1.03,1.00,HEART,PROT,RAT
Q6P9U5,Ribosomal protein L9 ,30,4,11,4,Rpl9,0.99,1.00,1.02,1.00,HEART,PROT,RAT
A0A0H2UI38,Ribosomal protein S19-like2 ,43,7,23,7,Rps19l2 Rps19,1.01,1.00,0.98,0.85,HEART,PROT,RAT
O55211,Ribosomal protein S2 ,34,8,24,8,Rps2,1.02,1.00,1.06,0.94,HEART,PROT,RAT
A0A0G2JY70,Ribosomal_S10 domain-containing protein ,21,2,10,2,,1.13,0.97,1.07,1.00,HEART,PROT,RAT
Q5RKI9,"Ribosome-recycling factor, mitochondrial ",11,2,3,2,Mrrf,0.54,0.07,0.80,0.61,HEART,PROT,RAT
Q6AY80,Ribosyldihydronicotinamide dehydrogenase [quinone] ,22,5,13,5,Nqo2,0.87,0.49,0.84,0.58,HEART,PROT,RAT
Q6AYT3,RNA-splicing ligase RtcB homolog ,32,11,33,11,LOC362855; Rtcb,1.11,0.38,1.06,0.41,HEART,PROT,RAT
Q5XFV9,Rps16 protein (Fragment) ,26,4,6,4,Rps16,1.03,1.00,1.35,0.09,HEART,PROT,RAT
B0LPN4,Ryanodine receptor 2 ,21,79,242,79,Ryr2,0.82,<0.01,1.06,0.07,HEART,PROT,RAT
Q6AY30,Saccharopine dehydrogenase-like oxidoreductase ,29,9,33,9,Sccpdh; LOC100910414; LOC103689999,0.89,0.18,0.98,1.00,HEART,PROT,RAT
F1LRB8,S-adenosylmethionine synthase ,9,3,6,3,Mat2a rCG_56483,0.66,0.98,1.17,1.00,HEART,PROT,RAT
Q498U4,SAP domain-containing ribonucleoprotein ,16,3,5,3,Sarnp,0.88,0.98,1.07,1.00,HEART,PROT,RAT
F1LWG8,Sarcalumenin ,38,27,284,27,Srl,0.66,<0.01,0.78,<0.01,HEART,PROT,RAT
D3ZDQ9,"Sarcoglycan, alpha ",34,10,31,10,Sgca,0.82,0.24,1.08,0.84,HEART,PROT,RAT
F1LYS7,"Sarcoglycan, delta ",15,4,15,4,Sgcd,0.91,0.73,1.12,0.86,HEART,PROT,RAT
Q5XID6,"Sarcoglycan, gamma ",32,6,29,6,Sgcg,1.04,1.00,1.35,0.01,HEART,PROT,RAT
B5DF63,Sarcolemmal membrane-associated protein ,20,16,64,16,Slmap,1.47,<0.01,1.38,<0.01,HEART,PROT,RAT
P11507,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 ,33,33,446,20,Atp2a2,0.89,<0.01,1.30,<0.01,HEART,PROT,RAT
Q64380,"Sarcosine dehydrogenase, mitochondrial ",9,6,12,6,Sardh,0.82,0.54,0.82,0.72,HEART,PROT,RAT
D4ABT9,Sarcospan ,11,2,4,2,Sspn,1.11,1.00,1.34,0.95,HEART,PROT,RAT
A0A0G2K189,Secernin 3 ,22,7,32,7,Scrn3,1.06,1.00,0.94,0.57,HEART,PROT,RAT
Q6AYR8,Secernin-2 ,11,3,7,3,Scrn2,0.76,0.45,1.02,1.00,HEART,PROT,RAT
D4A0F5,Septin 7 ,27,10,20,9,Sept7 Septin7,1.11,0.92,1.36,0.27,HEART,PROT,RAT
B3GNI6,Septin-11 ,17,6,14,5,Sept11,1.31,0.43,1.56,0.16,HEART,PROT,RAT
Q91Y81,Septin-2 ,24,6,16,6,Sept2,1.26,0.04,1.37,<0.01,HEART,PROT,RAT
Q6P9U0,"Serine (Or cysteine) peptidase inhibitor, clade B, member 6a ",32,10,24,10,Serpinb6; Serpinb6a,0.98,1.00,1.07,0.36,HEART,PROT,RAT
Q5M7T5,"Serine (Or cysteine) peptidase inhibitor, clade C (Antithrombin), member 1 ",43,20,71,20,Serpinc1,1.04,0.51,1.24,0.05,HEART,PROT,RAT
Q5U3Z7,Serine hydroxymethyltransferase ,19,7,14,6,Shmt2,1.03,1.00,1.05,1.00,HEART,PROT,RAT
P05545,Serine protease inhibitor A3K ,42,12,105,9,Serpina3c; Serpina3k,0.95,0.83,1.19,0.11,HEART,PROT,RAT
Q7TQP6,Serine/threonine-protein kinase TNNI3K ,2,2,3,2,Tnni3k,0.63,0.04,0.76,0.17,HEART,PROT,RAT
Q64538,Serine/threonine-protein phosphatase (Fragment) ,17,6,13,6,Ppp5c,1.10,1.00,0.98,1.00,HEART,PROT,RAT
B2RYQ2,Serine/threonine-protein phosphatase 2A activator ,15,3,10,3,Ppp2r4; Ptpa,1.11,1.00,1.39,0.29,HEART,PROT,RAT
P62716,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform ,19,5,18,5,Ppp2cb,0.96,1.00,1.08,1.00,HEART,PROT,RAT
P62138,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit ,18,6,33,2,Ppp1ca,1.18,1.00,1.27,0.33,HEART,PROT,RAT
M0RCV0,Serine-threonine kinase receptor-associated protein-like ,23,5,12,5,LOC100910575,0.88,0.08,1.07,0.19,HEART,PROT,RAT
P12346,Serotransferrin ,28,20,241,19,Tf,1.46,<0.01,1.44,<0.01,HEART,PROT,RAT
E0A3N4,Serpina3n-like protein ,49,16,72,14,Serpina3n,1.47,<0.01,1.64,<0.01,HEART,PROT,RAT
A0A0G2JSH5,Serum albumin ,28,21,661,2,Alb,1.10,0.08,1.24,0.01,HEART,PROT,RAT
P02770,Serum albumin ,28,21,646,2,Alb,1.06,0.84,0.97,0.94,HEART,PROT,RAT
B0BNE5,S-formylglutathione hydrolase ,36,7,28,7,Esd,0.85,0.26,1.02,1.00,HEART,PROT,RAT
Q925Q9,SH3 domain-containing kinase-binding protein 1 ,7,5,16,5,Sh3kbp1,1.13,0.29,1.04,1.00,HEART,PROT,RAT
B0K040,Sh3bgr protein (Fragment) ,32,7,25,7,Sh3bgr,0.94,0.75,1.10,0.97,HEART,PROT,RAT
P70584,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial ",19,6,11,6,Acadsb,0.58,0.01,1.07,1.00,HEART,PROT,RAT
P15651,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial ",42,15,274,15,Acads,0.88,0.01,0.80,<0.01,HEART,PROT,RAT
D4ACC5,"Similar to 106 kDa O-GlcNAc transferase-interacting protein (Predicted), isoform CRA_a ",6,3,7,3,Trak1,1.31,0.59,0.76,0.59,HEART,PROT,RAT
A0A0G2K896,Similar to RIKEN cDNA 1300017J02 ,8,6,15,5,RGD1310507,1.06,1.00,1.53,0.99,HEART,PROT,RAT
D3ZML4,Similar to RIKEN cDNA 5730502D15 gene (Predicted) ,14,3,5,3,Trabd,0.76,0.21,0.84,0.57,HEART,PROT,RAT
Q5FVG5,"Similar to tropomyosin 1, embryonic fibroblast-rat, isoform CRA_c ",54,23,170,4,Tpm2,0.89,1.00,1.24,0.83,HEART,PROT,RAT
P28042,"Single-stranded DNA-binding protein, mitochondrial ",39,5,16,5,Ssbp1,0.88,0.94,0.88,0.96,HEART,PROT,RAT
D4ACP2,Small integral membrane protein 12 ,32,3,5,3,LOC685634; Smim12,1.08,1.00,1.21,0.66,HEART,PROT,RAT
Q925F0,Small muscular protein ,47,4,18,4,Smpx,0.82,0.91,0.95,1.00,HEART,PROT,RAT
B5DES0,Small nuclear ribonucleoprotein Sm D2 ,25,2,5,2,Snrpd2,0.91,1.00,1.50,0.88,HEART,PROT,RAT
B5DFL0,Snta1 protein ,23,10,23,9,Snta1,0.70,0.11,1.03,1.00,HEART,PROT,RAT
Q01728,Sodium/calcium exchanger 1 ,7,5,10,4,Slc8a1,1.12,1.00,1.83,0.16,HEART,PROT,RAT
P06685,Sodium/potassium-transporting ATPase subunit alpha-1 ,37,33,165,23,Atp1a1,0.88,0.33,1.07,0.41,HEART,PROT,RAT
P07340,Sodium/potassium-transporting ATPase subunit beta-1 ,22,5,31,5,Atp1b1,0.75,0.01,0.90,0.47,HEART,PROT,RAT
Q63377,Sodium/potassium-transporting ATPase subunit beta-3 ,18,3,8,3,Atp1b3,0.87,1.00,1.35,0.90,HEART,PROT,RAT
P19357,"Solute carrier family 2, facilitated glucose transporter member 4 ",15,6,13,6,Slc2a4,0.77,0.11,0.88,0.57,HEART,PROT,RAT
F1LX07,Solute carrier family 25 member 12 ,45,21,94,17,Slc25a12 LOC100360985,0.91,0.59,1.21,0.03,HEART,PROT,RAT
F1LZW6,Solute carrier family 25 member 13 ,49,18,81,14,Slc25a13,1.03,1.00,1.36,<0.01,HEART,PROT,RAT
Q5XIL4,"Sorbin and SH3 domain containing 3, isoform CRA_b ",12,7,11,7,Sorbs3,0.94,1.00,1.04,0.95,HEART,PROT,RAT
F1M8Z8,Sorbin and SH3 domain-containing protein 1 ,36,26,109,3,Sorbs1,1.48,0.01,1.11,1.00,HEART,PROT,RAT
F1M820,Sorbin and SH3 domain-containing protein 1 ,26,26,105,3,Sorbs1,1.04,0.30,0.98,0.80,HEART,PROT,RAT
F1LPM3,Sorbin and SH3 domain-containing protein 2 ,29,25,127,25,Sorbs2,1.94,<0.01,1.65,<0.01,HEART,PROT,RAT
P27867,Sorbitol dehydrogenase ,26,8,20,8,Sord,0.84,0.05,0.89,0.25,HEART,PROT,RAT
Q6AXV4,Sorting and assembly machinery component 50 homolog ,30,12,54,12,Samm50,0.95,0.53,1.04,0.57,HEART,PROT,RAT
B2RYP4,Sorting nexin 2 ,14,6,9,5,Snx2,0.96,1.00,1.23,0.96,HEART,PROT,RAT
E9PT90,Spartin ,5,2,4,2,Spart Spg20,1.01,1.00,0.87,1.00,HEART,PROT,RAT
Q6IRK8,"Spectrin alpha chain, non-erythrocytic 1 ",66,131,650,2,Sptan1,1.34,0.36,1.29,0.27,HEART,PROT,RAT
A0A0G2K1Y8,"Spectrin alpha chain, non-erythrocytic 1 ",65,134,658,5,Sptan1,1.18,<0.01,1.17,<0.01,HEART,PROT,RAT
G3V6S0,Spectrin beta chain ,50,95,432,85,Sptbn1,1.23,<0.01,1.25,<0.01,HEART,PROT,RAT
Q6XDA0,Spectrin beta chain ,15,22,49,17,Sptb,1.03,1.00,1.41,0.66,HEART,PROT,RAT
D4A678,"Spectrin, alpha, erythrocytic 1 ",17,28,56,27,Spta1,1.06,0.57,1.27,0.01,HEART,PROT,RAT
A0A0G2K4X8,S-phase kinase-associated protein 1 ,36,6,19,6,Skp1,1.09,1.00,1.08,1.00,HEART,PROT,RAT
Q63413,Spliceosome RNA helicase Ddx39b ,10,4,12,4,Ddx39b,0.96,1.00,1.09,0.38,HEART,PROT,RAT
D3ZMS1,"Splicing factor 3b, subunit 2 ",4,2,6,2,Sf3b2,0.96,1.00,0.84,0.48,HEART,PROT,RAT
