Accession,Gene Name,FC (MI 8W/Sham),Number of peptides,p-value,Description,Tissue,Ome,Species
Q9WU78,Pdcd6ip Aip1 Alix,0.869,12,0.005028,Programmed cell death 6-interacting protein OS=Mus musculus GN=Pdcd6ip PE=1 SV=3,HEART,PROT,HUMAN
E9PVD2,Itih4,0.869,10,0.00762,"Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus GN=Itih4 PE=1 SV=1",HEART,PROT,HUMAN
P09055,Itgb1,0.869,14,0.03607,Integrin beta-1 OS=Mus musculus GN=Itgb1 PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4J107,Apeh,0.869,6,0.1141,Acylamino-acid-releasing enzyme (Fragment) OS=Mus musculus GN=Apeh PE=1 SV=1,HEART,PROT,HUMAN
P80314,Cct2 Cctb,0.868,21,0.001278,T-complex protein 1 subunit beta OS=Mus musculus GN=Cct2 PE=1 SV=4,HEART,PROT,HUMAN
Q61081,Cdc37,0.867,10,0.05131,Hsp90 co-chaperone Cdc37 OS=Mus musculus GN=Cdc37 PE=1 SV=1,HEART,PROT,HUMAN
Q91YN9,Bag2,0.866,7,0.000157,BAG family molecular chaperone regulator 2 OS=Mus musculus GN=Bag2 PE=1 SV=1,HEART,PROT,HUMAN
A0A0G2JGS4,Camk2d,0.866,10,0.002452,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Mus musculus GN=Camk2d PE=1 SV=1,HEART,PROT,HUMAN
Q9DBC7,Prkar1a,0.866,8,0.01709,cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Mus musculus GN=Prkar1a PE=1 SV=3,HEART,PROT,HUMAN
Q8CJ53,Trip10 Cip4,0.866,3,0.02055,Cdc42-interacting protein 4 OS=Mus musculus GN=Trip10 PE=1 SV=2,HEART,PROT,HUMAN
P54775,Psmc4 Tbp7,0.865,11,0.003447,26S proteasome regulatory subunit 6B OS=Mus musculus GN=Psmc4 PE=1 SV=2,HEART,PROT,HUMAN
Q8R001,Mapre2,0.865,3,0.00565,Microtubule-associated protein RP/EB family member 2 OS=Mus musculus GN=Mapre2 PE=1 SV=1,HEART,PROT,HUMAN
Q61187,Tsg101,0.865,4,0.09897,Tumor susceptibility gene 101 protein OS=Mus musculus GN=Tsg101 PE=1 SV=2,HEART,PROT,HUMAN
Q02053,Uba1 Sbx Ube1 Ube1ax Ube1x,0.864,24,3.61E-05,Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1,HEART,PROT,HUMAN
P58252,Eef2,0.864,34,5.60E-05,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2,HEART,PROT,HUMAN
P07309,Ttr,0.864,7,0.01079,Transthyretin OS=Mus musculus GN=Ttr PE=1 SV=1,HEART,PROT,HUMAN
P61202,Cops2 Csn2 Trip15,0.864,4,0.04942,COP9 signalosome complex subunit 2 OS=Mus musculus GN=Cops2 PE=1 SV=1,HEART,PROT,HUMAN
Q8VEE1,Lmcd1,0.864,7,0.06024,LIM and cysteine-rich domains protein 1 OS=Mus musculus GN=Lmcd1 PE=1 SV=1,HEART,PROT,HUMAN
Q505F5,Lrrc47 Kiaa1185,0.864,5,0.1111,Leucine-rich repeat-containing protein 47 OS=Mus musculus GN=Lrrc47 PE=1 SV=1,HEART,PROT,HUMAN
Q9D819,Ppa1 Pp Pyp,0.863,8,0.1693,Inorganic pyrophosphatase OS=Mus musculus GN=Ppa1 PE=1 SV=1,HEART,PROT,HUMAN
Q8BTN3,Tango2 D16H22S680E mCG_131843,0.863,3,0.1995,"DNA segment, Chr 16, human D22S680E, expressed, isoform CRA_c OS=Mus musculus GN=Tango2 PE=1 SV=1",HEART,PROT,HUMAN
P26516,Psmd7 Mov-34 Mov34,0.863,3,0.2125,26S proteasome non-ATPase regulatory subunit 7 OS=Mus musculus GN=Psmd7 PE=1 SV=2,HEART,PROT,HUMAN
P82350,Sgca,0.862,9,0.01294,Alpha-sarcoglycan OS=Mus musculus GN=Sgca PE=1 SV=1,HEART,PROT,HUMAN
P09813,Apoa2,0.862,6,0.01662,Apolipoprotein A-II OS=Mus musculus GN=Apoa2 PE=1 SV=2,HEART,PROT,HUMAN
E9PZC3,Blvrb,0.862,4,0.01882,Flavin reductase (NADPH) OS=Mus musculus GN=Blvrb PE=1 SV=1,HEART,PROT,HUMAN
Q8JZQ9,Eif3b Eif3s9,0.862,5,0.0541,Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus GN=Eif3b PE=1 SV=1,HEART,PROT,HUMAN
Q9DC77,Smpx Csl,0.862,4,0.08361,Small muscular protein OS=Mus musculus GN=Smpx PE=1 SV=2,HEART,PROT,HUMAN
G3UVV4,Hk1 mCG_127656,0.861,40,2.95E-10,"Hexokinase 1, isoform CRA_f OS=Mus musculus GN=Hk1 PE=1 SV=1",HEART,PROT,HUMAN
Q8VHX6,Flnc Abpl Fln2,0.861,75,2.37E-08,Filamin-C OS=Mus musculus GN=Flnc PE=1 SV=3,HEART,PROT,HUMAN
Q9D517,Agpat3 Lpaat3,0.86,5,0.006925,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma OS=Mus musculus GN=Agpat3 PE=1 SV=2,HEART,PROT,HUMAN
Q9CQ19,Myl9 Myrl2,0.86,7,0.09824,Myosin regulatory light polypeptide 9 OS=Mus musculus GN=Myl9 PE=1 SV=3,HEART,PROT,HUMAN
G3X8Y3,Naa15 Narg1 mCG_22170,0.86,3,0.1207,"N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Mus musculus GN=Naa15 PE=1 SV=1",HEART,PROT,HUMAN
Q8VDM4,Psmd2,0.859,15,0.003785,26S proteasome non-ATPase regulatory subunit 2 OS=Mus musculus GN=Psmd2 PE=1 SV=1,HEART,PROT,HUMAN
B2RRE2,Myo18a,0.859,23,0.004121,Myo18a protein OS=Mus musculus GN=Myo18a PE=1 SV=1,HEART,PROT,HUMAN
Q99L13,Hibadh,0.859,8,0.05674,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Hibadh PE=1 SV=1",HEART,PROT,HUMAN
Q9JKL4,Ndufaf3,0.859,3,0.08345,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3 OS=Mus musculus GN=Ndufaf3 PE=1 SV=1,HEART,PROT,HUMAN
F8VQ52,Adcy6,0.859,3,0.1288,Adenylate cyclase type 6 OS=Mus musculus GN=Adcy6 PE=1 SV=1,HEART,PROT,HUMAN
Q8R5H1,Usp15 Kiaa0529,0.859,3,0.1592,Ubiquitin carboxyl-terminal hydrolase 15 OS=Mus musculus GN=Usp15 PE=1 SV=1,HEART,PROT,HUMAN
A0A1W2P812,Ank3,0.858,5,0.002534,Ankyrin-3 OS=Mus musculus GN=Ank3 PE=1 SV=1,HEART,PROT,HUMAN
Q91VR5,Ddx1,0.858,6,0.002655,ATP-dependent RNA helicase DDX1 OS=Mus musculus GN=Ddx1 PE=1 SV=1,HEART,PROT,HUMAN
Q60864,Stip1,0.857,14,0.001803,Stress-induced-phosphoprotein 1 OS=Mus musculus GN=Stip1 PE=1 SV=1,HEART,PROT,HUMAN
P97742,Cpt1a Cpt-1 Cpt1,0.857,6,0.05191,"Carnitine O-palmitoyltransferase 1, liver isoform OS=Mus musculus GN=Cpt1a PE=1 SV=4",HEART,PROT,HUMAN
P09528,Fth1 Fth,0.856,4,0.006693,Ferritin heavy chain OS=Mus musculus GN=Fth1 PE=1 SV=2,HEART,PROT,HUMAN
P07356,Anxa2 Anx2 Cal1h,0.856,20,0.006787,Annexin A2 OS=Mus musculus GN=Anxa2 PE=1 SV=2,HEART,PROT,HUMAN
Q61598,Gdi2 Gdi3,0.856,13,0.01688,Rab GDP dissociation inhibitor beta OS=Mus musculus GN=Gdi2 PE=1 SV=1,HEART,PROT,HUMAN
G3X8Q5,Cp mCG_19773,0.856,11,0.0233,Ceruloplasmin OS=Mus musculus GN=Cp PE=1 SV=1,HEART,PROT,HUMAN
A0A1B0GS70,Psma1 mCG_123908,0.856,10,0.07128,Proteasome endopeptidase complex OS=Mus musculus GN=Psma1 PE=1 SV=1,HEART,PROT,HUMAN
Q3TVK3,Dnpep,0.855,9,0.0006414,Aspartyl aminopeptidase OS=Mus musculus GN=Dnpep PE=1 SV=1,HEART,PROT,HUMAN
Q8BW84,Gatb GATB PET112 Pet112 PET112L Pet112l,0.855,5,0.1663,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Mus musculus GN=Gatb PE=1 SV=1",HEART,PROT,HUMAN
P68040,Rack1 Gnb2-rs1 Gnb2l1,0.855,6,0.2522,Receptor of activated protein C kinase 1 OS=Mus musculus GN=Rack1 PE=1 SV=3,HEART,PROT,HUMAN
Q9Z1A1,Tfg mCG_130891,0.854,6,0.001363,TFG protein OS=Mus musculus GN=Tfg PE=1 SV=1,HEART,PROT,HUMAN
P51150,Rab7a Rab7,0.854,7,0.003228,Ras-related protein Rab-7a OS=Mus musculus GN=Rab7a PE=1 SV=2,HEART,PROT,HUMAN
Q3TPJ8,Dync1i2 mCG_19348,0.854,8,0.1773,Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus GN=Dync1i2 PE=1 SV=1,HEART,PROT,HUMAN
P58871,Tnks1bp1 Kiaa1741 Tab182,0.854,3,0.1798,182 kDa tankyrase-1-binding protein OS=Mus musculus GN=Tnks1bp1 PE=1 SV=2,HEART,PROT,HUMAN
Q8BG32,Psmd11,0.853,10,0.002635,26S proteasome non-ATPase regulatory subunit 11 OS=Mus musculus GN=Psmd11 PE=1 SV=3,HEART,PROT,HUMAN
P61222,Abce1 Rli,0.853,7,0.01678,ATP-binding cassette sub-family E member 1 OS=Mus musculus GN=Abce1 PE=1 SV=1,HEART,PROT,HUMAN
G5E823,Hars2 Harsl mCG_124899,0.851,4,0.0004084,"Histidyl-tRNA synthetase-like, isoform CRA_a OS=Mus musculus GN=Hars2 PE=1 SV=1",HEART,PROT,HUMAN
Q9CZ30,Ola1 Gtpbp9,0.851,5,0.006006,Obg-like ATPase 1 OS=Mus musculus GN=Ola1 PE=1 SV=1,HEART,PROT,HUMAN
Q9Z315,Sart1 Haf,0.851,4,0.2172,U4/U6.U5 tri-snRNP-associated protein 1 OS=Mus musculus GN=Sart1 PE=1 SV=1,HEART,PROT,HUMAN
P80317,Cct6a Cct6 Cctz Cctz1,0.85,8,0.004328,T-complex protein 1 subunit zeta OS=Mus musculus GN=Cct6a PE=1 SV=3,HEART,PROT,HUMAN
P61759,Vbp1 Pfdn3,0.85,6,0.1371,Prefoldin subunit 3 OS=Mus musculus GN=Vbp1 PE=1 SV=2,HEART,PROT,HUMAN
Q3UWL8,Pfdn4,0.85,3,0.1466,Prefoldin subunit 4 OS=Mus musculus GN=Pfdn4 PE=1 SV=1,HEART,PROT,HUMAN
O35593,Psmd14 Pad1,0.85,5,0.2378,26S proteasome non-ATPase regulatory subunit 14 OS=Mus musculus GN=Psmd14 PE=1 SV=2,HEART,PROT,HUMAN
B7ZCF1,Psmc3,0.848,17,9.10E-05,26S proteasome regulatory subunit 6A OS=Mus musculus GN=Psmc3 PE=1 SV=1,HEART,PROT,HUMAN
P56812,Pdcd5 Tfar19,0.848,6,0.03471,Programmed cell death protein 5 OS=Mus musculus GN=Pdcd5 PE=1 SV=3,HEART,PROT,HUMAN
E9PUR2,Myo18a,0.848,3,0.3272,Unconventional myosin-XVIIIa (Fragment) OS=Mus musculus GN=Myo18a PE=4 SV=2,HEART,PROT,HUMAN
Q8C2Q7,Hnrnph1 Hnrph1,0.847,6,0.006692,Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus GN=Hnrnph1 PE=1 SV=1,HEART,PROT,HUMAN
A0A286YD84,Epb41l3,0.847,3,0.2042,Band 4.1-like protein 3 (Fragment) OS=Mus musculus GN=Epb41l3 PE=4 SV=1,HEART,PROT,HUMAN
Q9D1C3,Pyurf Pigy Prey,0.846,4,0.2882,"Protein preY, mitochondrial OS=Mus musculus GN=Pyurf PE=1 SV=1",HEART,PROT,HUMAN
Q3UGC7,Eif3j1 Eif3s1-1,0.845,13,0.006475,Eukaryotic translation initiation factor 3 subunit J-A OS=Mus musculus GN=Eif3j1 PE=2 SV=1,HEART,PROT,HUMAN
P67984,Rpl22,0.845,4,0.3057,60S ribosomal protein L22 OS=Mus musculus GN=Rpl22 PE=1 SV=2,HEART,PROT,HUMAN
P55284,Cdh5,0.844,4,0.01656,Cadherin-5 OS=Mus musculus GN=Cdh5 PE=1 SV=2,HEART,PROT,HUMAN
O70400,Pdlim1 Clim1,0.844,12,0.07345,PDZ and LIM domain protein 1 OS=Mus musculus GN=Pdlim1 PE=1 SV=4,HEART,PROT,HUMAN
Q91YS8,Camk1,0.844,3,0.3146,Calcium/calmodulin-dependent protein kinase type 1 OS=Mus musculus GN=Camk1 PE=1 SV=1,HEART,PROT,HUMAN
P53994,Rab2a Rab2,0.842,6,0.002785,Ras-related protein Rab-2A OS=Mus musculus GN=Rab2a PE=1 SV=1,HEART,PROT,HUMAN
P63085,Mapk1 Erk2 Mapk Prkm1,0.842,5,0.2373,Mitogen-activated protein kinase 1 OS=Mus musculus GN=Mapk1 PE=1 SV=3,HEART,PROT,HUMAN
A0A0A0MQM0,Eif5a,0.841,11,0.01024,Eukaryotic translation initiation factor 5A (Fragment) OS=Mus musculus GN=Eif5a PE=1 SV=1,HEART,PROT,HUMAN
Q76LL6,Fhod3 Fhos2 Kiaa1695,0.84,3,0.04909,FH1/FH2 domain-containing protein 3 OS=Mus musculus GN=Fhod3 PE=1 SV=1,HEART,PROT,HUMAN
Q99KJ8,Dctn2,0.839,10,0.004983,Dynactin subunit 2 OS=Mus musculus GN=Dctn2 PE=1 SV=3,HEART,PROT,HUMAN
O35114,Scarb2,0.839,4,0.03192,Lysosome membrane protein 2 OS=Mus musculus GN=Scarb2 PE=1 SV=3,HEART,PROT,HUMAN
Q8CGY6,Unc45b Cmya4,0.838,13,4.13E-07,Protein unc-45 homolog B OS=Mus musculus GN=Unc45b PE=1 SV=1,HEART,PROT,HUMAN
O55222,Ilk,0.837,7,0.01149,Integrin-linked protein kinase OS=Mus musculus GN=Ilk PE=1 SV=2,HEART,PROT,HUMAN
Q8CGY8,Ogt,0.837,3,0.1074,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Mus musculus GN=Ogt PE=1 SV=2,HEART,PROT,HUMAN
T1ECW4,Rbpms,0.837,3,0.1779,RNA-binding protein with multiple-splicing OS=Mus musculus GN=Rbpms PE=1 SV=1,HEART,PROT,HUMAN
P80315,Cct4 Cctd,0.836,8,0.003726,T-complex protein 1 subunit delta OS=Mus musculus GN=Cct4 PE=1 SV=3,HEART,PROT,HUMAN
O70310,Nmt1,0.836,3,0.04684,Glycylpeptide N-tetradecanoyltransferase 1 OS=Mus musculus GN=Nmt1 PE=1 SV=1,HEART,PROT,HUMAN
Q3UF75,Parva,0.836,3,0.1406,Alpha-parvin OS=Mus musculus GN=Parva PE=1 SV=1,HEART,PROT,HUMAN
P47757,Capzb Cappb1,0.835,11,0.004189,F-actin-capping protein subunit beta OS=Mus musculus GN=Capzb PE=1 SV=3,HEART,PROT,HUMAN
E9Q6R7,Utrn,0.835,10,0.006984,Utrophin OS=Mus musculus GN=Utrn PE=1 SV=1,HEART,PROT,HUMAN
Q99L47,St13 Fam10a1 Hip,0.835,5,0.01187,Hsc70-interacting protein OS=Mus musculus GN=St13 PE=1 SV=1,HEART,PROT,HUMAN
O35643,Ap1b1 Adtb1,0.835,3,0.1413,AP-1 complex subunit beta-1 OS=Mus musculus GN=Ap1b1 PE=1 SV=2,HEART,PROT,HUMAN
A0A1B0GR11,Taldo1,0.834,15,0.007878,Transaldolase OS=Mus musculus GN=Taldo1 PE=1 SV=1,HEART,PROT,HUMAN
A0A1B0GS58,Glrx3,0.834,7,0.009305,Glutaredoxin-3 OS=Mus musculus GN=Glrx3 PE=1 SV=1,HEART,PROT,HUMAN
Q60631,Grb2,0.834,7,0.02979,Growth factor receptor-bound protein 2 OS=Mus musculus GN=Grb2 PE=1 SV=1,HEART,PROT,HUMAN
A0A0U1RP87,Vamp5,0.834,3,0.0734,Vesicle-associated membrane protein 5 OS=Mus musculus GN=Vamp5 PE=1 SV=1,HEART,PROT,HUMAN
Q3UZA1,Rcsd1 Capzip,0.834,4,0.08985,CapZ-interacting protein OS=Mus musculus GN=Rcsd1 PE=1 SV=1,HEART,PROT,HUMAN
Q00623,Apoa1,0.833,35,1.42E-07,Apolipoprotein A-I OS=Mus musculus GN=Apoa1 PE=1 SV=2,HEART,PROT,HUMAN
P62806,Hist1h4a; Hist1h4b H4-53; Hist1h4c H4-12; Hist1h4d; Hist1h4f; Hist1h4h; Hist1h4i; Hist1h4j; Hist1h4k; Hist1h4m; Hist2h4a Hist2h4; Hist4h4,0.833,17,0.0002212,Histone H4 OS=Mus musculus GN=Hist1h4a PE=1 SV=2,HEART,PROT,HUMAN
Q4VWZ5,Dbi mCG_17804,0.833,11,0.04038,Acyl-CoA-binding protein OS=Mus musculus GN=Dbi PE=1 SV=1,HEART,PROT,HUMAN
Q8R2G4,Art3,0.833,10,0.04869,Ecto-ADP-ribosyltransferase 3 OS=Mus musculus GN=Art3 PE=1 SV=2,HEART,PROT,HUMAN
P61161,Actr2 Arp2,0.833,3,0.5141,Actin-related protein 2 OS=Mus musculus GN=Actr2 PE=1 SV=1,HEART,PROT,HUMAN
P62962,Pfn1,0.832,9,0.0009261,Profilin-1 OS=Mus musculus GN=Pfn1 PE=1 SV=2,HEART,PROT,HUMAN
P54728,Rad23b Mhr23b,0.832,10,0.00111,UV excision repair protein RAD23 homolog B OS=Mus musculus GN=Rad23b PE=1 SV=2,HEART,PROT,HUMAN
Q91WK2,Eif3h Eif3s3,0.832,6,0.02122,Eukaryotic translation initiation factor 3 subunit H OS=Mus musculus GN=Eif3h PE=1 SV=1,HEART,PROT,HUMAN
Q9DBJ1,Pgam1,0.832,14,0.03934,Phosphoglycerate mutase 1 OS=Mus musculus GN=Pgam1 PE=1 SV=3,HEART,PROT,HUMAN
P29595,Nedd8 Nedd-8,0.832,5,0.2432,NEDD8 OS=Mus musculus GN=Nedd8 PE=1 SV=2,HEART,PROT,HUMAN
A2A4P4,Gm27029,0.831,5,0.0009774,"Predicted gene, 27029 OS=Mus musculus GN=Gm27029 PE=4 SV=1",HEART,PROT,HUMAN
P63028,Tpt1 Trt,0.831,8,0.01486,Translationally-controlled tumor protein OS=Mus musculus GN=Tpt1 PE=1 SV=1,HEART,PROT,HUMAN
Q9EQS3,Mycbp Amy1,0.83,3,0.007931,c-Myc-binding protein OS=Mus musculus GN=Mycbp PE=1 SV=5,HEART,PROT,HUMAN
Q9EPU0,Upf1 Rent1,0.83,4,0.00863,Regulator of nonsense transcripts 1 OS=Mus musculus GN=Upf1 PE=1 SV=2,HEART,PROT,HUMAN
A0A087WNW3,Ktn1,0.829,25,4.38E-10,Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1,HEART,PROT,HUMAN
J3QPW1,Pitpna,0.829,3,0.2018,Phosphatidylinositol transfer protein alpha isoform OS=Mus musculus GN=Pitpna PE=1 SV=1,HEART,PROT,HUMAN
Q61584,Fxr1 Fxr1h,0.828,9,5.41E-07,Fragile X mental retardation syndrome-related protein 1 OS=Mus musculus GN=Fxr1 PE=1 SV=2,HEART,PROT,HUMAN
P21981,Tgm2,0.828,19,7.98E-05,Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus GN=Tgm2 PE=1 SV=4,HEART,PROT,HUMAN
A0A1Y7VKY1,Gm11361 mCG_116671,0.828,5,0.1754,MCG116671 OS=Mus musculus GN=Gm11361 PE=3 SV=1,HEART,PROT,HUMAN
P62192,Psmc1,0.827,17,5.69E-05,26S proteasome regulatory subunit 4 OS=Mus musculus GN=Psmc1 PE=1 SV=1,HEART,PROT,HUMAN
Q6ZWX6,Eif2s1 Eif2a,0.827,6,0.0001948,Eukaryotic translation initiation factor 2 subunit 1 OS=Mus musculus GN=Eif2s1 PE=1 SV=3,HEART,PROT,HUMAN
Q8BJY1,Psmd5 Kiaa0072,0.827,5,0.001093,26S proteasome non-ATPase regulatory subunit 5 OS=Mus musculus GN=Psmd5 PE=1 SV=4,HEART,PROT,HUMAN
J3QP71,Bsg,0.827,17,0.003416,Basigin (Fragment) OS=Mus musculus GN=Bsg PE=1 SV=1,HEART,PROT,HUMAN
F6TQW2,Ighg2c,0.827,4,0.01037,Immunoglobulin heavy constant gamma 2C (Fragment) OS=Mus musculus GN=Ighg2c PE=1 SV=2,HEART,PROT,HUMAN
A0A0G2JEC4,Sh3glb1,0.827,4,0.02194,Endophilin-B1 OS=Mus musculus GN=Sh3glb1 PE=1 SV=1,HEART,PROT,HUMAN
Q9D892,Itpa,0.827,3,0.03587,Inosine triphosphate pyrophosphatase OS=Mus musculus GN=Itpa PE=1 SV=2,HEART,PROT,HUMAN
P60840,Ensa,0.827,3,0.04653,Alpha-endosulfine OS=Mus musculus GN=Ensa PE=1 SV=1,HEART,PROT,HUMAN
F8WGR0,Add1,0.827,4,0.06833,Alpha-adducin OS=Mus musculus GN=Add1 PE=1 SV=1,HEART,PROT,HUMAN
P50516,Atp6v1a Atp6a1 Atp6a2 Atp6v1a1,0.827,3,0.3922,V-type proton ATPase catalytic subunit A OS=Mus musculus GN=Atp6v1a PE=1 SV=2,HEART,PROT,HUMAN
Q61768,Kif5b Khcs Kns1,0.826,15,0.006739,Kinesin-1 heavy chain OS=Mus musculus GN=Kif5b PE=1 SV=3,HEART,PROT,HUMAN
Q9JHK4,Rabggta,0.826,4,0.1481,Geranylgeranyl transferase type-2 subunit alpha OS=Mus musculus GN=Rabggta PE=1 SV=1,HEART,PROT,HUMAN
O08547,Sec22b Sec22l1,0.826,5,0.2002,Vesicle-trafficking protein SEC22b OS=Mus musculus GN=Sec22b PE=1 SV=3,HEART,PROT,HUMAN
P26039,Tln1 Tln,0.825,45,2.67E-06,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2,HEART,PROT,HUMAN
P37804,Tagln Sm22 Sm22a,0.825,13,0.0006626,Transgelin OS=Mus musculus GN=Tagln PE=1 SV=3,HEART,PROT,HUMAN
A0A1Y7VJW9,Fbln5,0.825,4,0.01808,Fibulin-5 OS=Mus musculus GN=Fbln5 PE=1 SV=1,HEART,PROT,HUMAN
E9Q035,Gm20425,0.824,34,5.89E-06,Predicted gene 20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1,HEART,PROT,HUMAN
E9PV24,Fga,0.824,26,2.46E-05,Fibrinogen alpha chain OS=Mus musculus GN=Fga PE=1 SV=1,HEART,PROT,HUMAN
Q9JII6,Akr1a1 Akr1a4,0.824,11,0.00192,Alcohol dehydrogenase [NADP(+)] OS=Mus musculus GN=Akr1a1 PE=1 SV=3,HEART,PROT,HUMAN
D3YTN4,Gimap4,0.824,5,0.1338,GTPase IMAP family member 4 OS=Mus musculus GN=Gimap4 PE=1 SV=1,HEART,PROT,HUMAN
Q9D1B9,Mrpl28,0.823,6,0.009342,"39S ribosomal protein L28, mitochondrial OS=Mus musculus GN=Mrpl28 PE=1 SV=3",HEART,PROT,HUMAN
E9Q828,Atp2b4,0.823,3,0.05517,Calcium-transporting ATPase OS=Mus musculus GN=Atp2b4 PE=1 SV=1,HEART,PROT,HUMAN
Q8BK64,Ahsa1,0.822,4,0.08017,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus GN=Ahsa1 PE=1 SV=2,HEART,PROT,HUMAN
Q91V55,Rps5 mCG_22552,0.822,7,0.09586,40S ribosomal protein S5 OS=Mus musculus GN=Rps5 PE=1 SV=1,HEART,PROT,HUMAN
Q9ERK4,Cse1l Xpo2,0.821,10,0.001088,Exportin-2 OS=Mus musculus GN=Cse1l PE=1 SV=1,HEART,PROT,HUMAN
Q9Z1Z2,Strap Unrip,0.821,4,0.02757,Serine-threonine kinase receptor-associated protein OS=Mus musculus GN=Strap PE=1 SV=2,HEART,PROT,HUMAN
F2Z456,Cyb5r3,0.821,8,0.05923,NADH-cytochrome b5 reductase OS=Mus musculus GN=Cyb5r3 PE=1 SV=1,HEART,PROT,HUMAN
P62835,Rap1a Krev-1,0.821,7,0.06619,Ras-related protein Rap-1A OS=Mus musculus GN=Rap1a PE=1 SV=1,HEART,PROT,HUMAN
P57776,Eef1d,0.82,6,0.05974,Elongation factor 1-delta OS=Mus musculus GN=Eef1d PE=1 SV=3,HEART,PROT,HUMAN
A0A0A0MQ90,S100a13,0.82,3,0.07564,Protein S100-A13 OS=Mus musculus GN=S100a13 PE=1 SV=1,HEART,PROT,HUMAN
Q9D0G0,Mrps30,0.819,4,0.00651,"28S ribosomal protein S30, mitochondrial OS=Mus musculus GN=Mrps30 PE=1 SV=1",HEART,PROT,HUMAN
Q9R111,Gda,0.819,5,0.01923,Guanine deaminase OS=Mus musculus GN=Gda PE=1 SV=1,HEART,PROT,HUMAN
B2RXC8,Ppp2r3a 3222402P14Rik mCG_15724,0.819,4,0.1613,3222402P14Rik protein OS=Mus musculus GN=Ppp2r3a PE=1 SV=1,HEART,PROT,HUMAN
Q8K0E8,Fgb,0.818,37,4.83E-06,Fibrinogen beta chain OS=Mus musculus GN=Fgb PE=1 SV=1,HEART,PROT,HUMAN
P07901,Hsp90aa1 Hsp86 Hsp86-1 Hspca,0.818,29,3.63E-05,Heat shock protein HSP 90-alpha OS=Mus musculus GN=Hsp90aa1 PE=1 SV=4,HEART,PROT,HUMAN
O08553,Dpysl2 Crmp2 Ulip2,0.818,13,0.002242,Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2,HEART,PROT,HUMAN
Q8R0H9,Gga1,0.818,4,0.08233,ADP-ribosylation factor-binding protein GGA1 OS=Mus musculus GN=Gga1 PE=1 SV=1,HEART,PROT,HUMAN
Q8BP47,Nars,0.818,4,0.1546,"Asparagine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Nars PE=1 SV=2",HEART,PROT,HUMAN
Q3TEA8,Hp1bp3,0.817,6,0.0006751,Heterochromatin protein 1-binding protein 3 OS=Mus musculus GN=Hp1bp3 PE=1 SV=1,HEART,PROT,HUMAN
Q9CPU0,Glo1,0.817,8,0.007604,Lactoylglutathione lyase OS=Mus musculus GN=Glo1 PE=1 SV=3,HEART,PROT,HUMAN
P19253,Rpl13a P198 Tstap198-7,0.817,4,0.01066,60S ribosomal protein L13a OS=Mus musculus GN=Rpl13a PE=1 SV=4,HEART,PROT,HUMAN
Q9WUM3,Coro1b,0.817,3,0.1922,Coronin-1B OS=Mus musculus GN=Coro1b PE=1 SV=1,HEART,PROT,HUMAN
P11352,Gpx1,0.816,3,0.2177,Glutathione peroxidase 1 OS=Mus musculus GN=Gpx1 PE=1 SV=2,HEART,PROT,HUMAN
P05213,Tuba1b Tuba2,0.815,43,2.85E-05,Tubulin alpha-1B chain OS=Mus musculus GN=Tuba1b PE=1 SV=2,HEART,PROT,HUMAN
P24527,Lta4h,0.815,6,0.002344,Leukotriene A-4 hydrolase OS=Mus musculus GN=Lta4h PE=1 SV=4,HEART,PROT,HUMAN
G3X9J1,Slc8a1 mCG_140710,0.814,11,3.45E-05,Sodium/calcium exchanger 1 OS=Mus musculus GN=Slc8a1 PE=1 SV=1,HEART,PROT,HUMAN
Q8K0Z7,Taco1 Ccdc44,0.814,10,0.06294,Translational activator of cytochrome c oxidase 1 OS=Mus musculus GN=Taco1 PE=1 SV=1,HEART,PROT,HUMAN
O35215,Ddt,0.814,3,0.46,D-dopachrome decarboxylase OS=Mus musculus GN=Ddt PE=1 SV=3,HEART,PROT,HUMAN
